id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28079181,"VERY CLEAN, BEAUTIFUL ROOM IN HEART OF CHICAGO",55976787,Natalia,,Near West Side,41.87774,-87.64387,Private room,10,1,49,2019-03-31,6.71,38,285
28083994,"Lincoln Park condo, big porch, close to Wrigley",20307790,Leo,,Lincoln Park,41.92564,-87.65958,Entire home/apt,200,2,3,2018-10-14,0.40,1,1
28092750,Ukrainian Village private suite + outdoor oasis,179032400,Amanda,,West Town,41.89451,-87.68702,Entire home/apt,95,2,3,2019-01-01,0.63,1,0
28100983,Private deluxe 3 level home by McCormick/Navy Pier,182602346,Guy,,Grand Boulevard,41.82011,-87.61095,Entire home/apt,389,3,5,2019-03-31,0.96,1,224
28101595,"Bright, Spacious, Family-Friendly Apartment",212068907,Troy And Alex,,Humboldt Park,41.9026,-87.70835,Entire home/apt,110,1,5,2019-03-17,0.66,2,4
28103900,Wrigleyville Crash Pad 1/2 block from The Field,83773615,Dennis,,Lake View,41.94929,-87.65554,Entire home/apt,171,1,48,2019-04-14,6.40,2,239
28106933,Amazing views in Luxury apartment,76391575,Tsholofelo,,Kenwood,41.80278,-87.58467,Private room,85,7,0,,,2,365
28107200,"BR in $978K Wicker Park apt,1 block from blue line",66116171,Kristen,,West Town,41.90331,-87.66637,Private room,66,1,55,2019-04-10,7.53,1,68
28107946,Vintage Room in East Humboldt,1761244,Jake,,West Town,41.90715,-87.6899,Private room,42,4,13,2019-04-09,3.42,3,46
28108782,Chicago HSH!!,212332502,Dan,,Near North Side,41.89432,-87.6339,Entire home/apt,150,32,1,2018-11-16,0.20,1,90
28115625,747 Meridian,207109604,Ginosi,,West Town,41.89627,-87.65461,Entire home/apt,215,1,2,2018-12-24,0.31,22,0
28123117,Easy access to Downtown in a safe neighborhood,87601336,Jon,,Logan Square,41.91614,-87.69539,Private room,45,1,11,2018-12-28,1.51,9,333
28132761,Sheridan Park 3BR with Elevator near the Red Line,192743804,Fenton,,Uptown,41.96346,-87.66676,Entire home/apt,139,2,19,2019-04-04,3.22,3,337
28133230,Large Gorgeous Condo (near downtown),212499522,David,,East Garfield Park,41.88274,-87.69832,Entire home/apt,113,1,11,2019-03-17,1.54,2,294
28133387,6 Bedrooms in Beautiful Sheridan Park!,192743804,Fenton,,Uptown,41.96335,-87.6651,Entire home/apt,399,2,1,2019-01-18,0.34,3,315
28135620,Your three bedroom home away from home,10656654,Jasmine,,Rogers Park,42.00151,-87.67465,Entire home/apt,161,2,3,2018-12-28,0.58,3,3
28138106,Spacious BR Old Irving Park Views Nxt to Transport,31378386,Brendan,,Irving Park,41.94255,-87.72998,Private room,33,2,10,2019-03-24,1.79,3,0
28138621,PREMIER Bucktown location. Logan Square 1-Bedroom!,127727500,Yusif,,Logan Square,41.91955,-87.68589,Entire home/apt,89,2,4,2019-03-27,0.61,2,321
28139486,Great location Downtown apartment Nice view,25464317,Jing,,Near West Side,41.88258,-87.64032,Entire home/apt,129,1,73,2019-04-09,10.00,4,234
28152683,Independence Park Place,178334811,Carol,,Irving Park,41.95685,-87.72632,Entire home/apt,61,1,11,2019-04-07,3.93,1,45
28153980,Lincoln Park Gem 2 bedroom / bath Entire Place,16479196,Marco,,Lincoln Park,41.92206,-87.64686,Entire home/apt,157,3,5,2019-04-04,0.79,5,230
28167328,747 Blue Moon,207109604,Ginosi,,West Town,41.89588,-87.65626,Entire home/apt,194,1,2,2019-01-12,0.29,22,352
28168992,747 Satellite,207109604,Ginosi,,West Town,41.89625,-87.65656,Entire home/apt,215,1,1,2019-02-16,0.51,22,363
28169163,747 Altitude,207109604,Ginosi,,West Town,41.89581,-87.65693,Entire home/apt,215,1,4,2019-03-29,0.74,22,359
28169607,747 Horizon,207109604,Ginosi,,West Town,41.89487,-87.65488,Entire home/apt,194,1,6,2019-03-11,1.41,22,348
28175505,NEW! COZY LINCOLN PARK 3BR APT! *FREE PARKING!*,156330040,Madeline,,Lincoln Park,41.9292,-87.65187,Entire home/apt,154,1,19,2019-03-28,2.53,4,143
28181270,"STUNNING, Super cute 3bd/2bth Mins to everything",152918055,Tiffany,,Austin,41.88389,-87.77393,Entire home/apt,150,2,9,2019-04-07,1.66,4,267
28182902,NEW! UNIQUE 2 BEDROOM IN HEART OF LINCOLN PARK,156330040,Madeline,,Lincoln Park,41.91977,-87.65329,Entire home/apt,189,1,24,2019-03-28,3.30,4,157
28186556,Fantastic 2 BD Loop Millennium Park,117470729,Ana Luisa,,Loop,41.88616,-87.62377,Entire home/apt,400,2,3,2018-10-14,0.41,14,180
28187090,"Sunny, fresh and charming!",26657650,Maureen,,North Park,41.98206,-87.71318,Entire home/apt,97,2,19,2019-04-08,2.69,1,68
28198743,Chicago Condominium,124228878,Michelle,,Rogers Park,42.00959,-87.66203,Entire home/apt,125,2,2,2018-09-30,0.29,1,37
28201226,ROOM WITH 3 BEDS & FREE PARKING IN CENTRAL CHICAGO,55976787,Natalia,,Near West Side,41.87716,-87.6474,Private room,10,1,45,2019-03-31,5.97,38,265
28201306,VERY CLEAN & BEAUTIFUL ROOM + PARKING IN DOWNTOWN,55976787,Natalia,,Near West Side,41.87962,-87.6395,Private room,10,1,59,2019-03-30,7.83,38,273
28203937,Hyde Park Neighbor North Keenwood Airbnb (NKA),162313472,Malcolm,,Kenwood,41.81373,-87.60193,Entire home/apt,95,2,15,2019-04-08,2.27,1,300
28207796,Charming vintage 2BR/1BA in Old Town,155413569,Jennifer,,Lincoln Park,41.91526,-87.63821,Entire home/apt,125,1,27,2019-04-14,4.76,1,78
28207846,Cozy room,213059626,Nury,,Uptown,41.97325,-87.66292,Private room,70,2,2,2018-10-16,0.30,1,110
