id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,Hyde Park - Walk to UChicago/16 min Train Downtown,2613,Rebecca,,Hyde Park,41.78886,-87.58671,Private room,50,2,159,2019-07-11,2.89,1,306
4505,We're back. 365 Great Reviews.  1 bad one.,5775,Craig & Kathleen,,South Lawndale,41.85495,-87.69696,Entire home/apt,117,2,373,2019-06-25,2.96,1,326
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289,-87.68182,Entire home/apt,80,2,349,2019-06-30,2.86,1,323
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91769,-87.63788,Entire home/apt,150,4,38,2019-06-30,0.59,8,327
10610,3 Comforts of Cooperative Living,2140,Lois,,Hyde Park,41.79708,-87.59195,Private room,35,2,39,2019-06-06,0.68,4,247
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91183,-87.64,Entire home/apt,215,4,13,2019-06-24,0.20,8,299
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92335,-87.64951,Private room,289,2,4,2018-10-17,0.08,1,172
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.89617,-87.66041,Entire home/apt,99,89,9,2014-10-12,0.13,1,365
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679,-87.65521,Entire home/apt,99,32,37,2018-07-29,0.33,4,324
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.91423,-87.63846,Entire home/apt,145,1,179,2019-05-13,1.62,12,153
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693,-87.65753,Entire home/apt,99,32,44,2019-03-12,0.40,4,209
28749,3 bedroom Dramatic Bucktown LOFT,27506,Laurie,,Logan Square,41.92083,-87.6801,Entire home/apt,250,2,47,2018-01-01,0.45,2,314
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97385,-87.66539,Private room,77,3,244,2019-06-18,2.23,1,214
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377,-87.63465,Private room,75,2,479,2019-06-29,4.49,1,5
44020,2 Bedroom 1 Block to Fullerton L - Garage Avail,101521,Red,,Lincoln Park,41.92673,-87.65731,Entire home/apt,80,32,51,2019-04-14,0.53,4,192
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.91331,-87.63964,Entire home/apt,75,1,233,2019-04-30,2.16,12,205
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287,-87.63979,Entire home/apt,65,1,246,2019-06-30,2.30,12,164
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264,-87.63979,Entire home/apt,155,1,256,2019-06-09,2.46,12,180
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89687,-87.67989,Private room,59,3,59,2019-06-02,0.59,2,252
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792,-87.65757,Private room,180,2,148,2019-06-16,1.46,4,337
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693,-87.68033,Private room,55,3,59,2019-07-07,0.59,2,246
110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.9693,-87.65621,Private room,99,2,137,2019-07-06,1.38,4,335
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96804,-87.65123,Private room,48,3,144,2019-06-30,1.46,1,206
133262,"Sweet Ivy Apartment - Relax, Recharge & Explore!",654712,Francesca,,West Town,41.89243,-87.68078,Entire home/apt,65,14,35,2019-06-12,0.43,1,68
144840,Great 3 Bedroom in Great Wrigley/Lakeview Location,701615,Daniel,,Lake View,41.94079,-87.65763,Entire home/apt,225,2,22,2019-06-01,0.54,1,338
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94364,-87.68155,Entire home/apt,275,2,16,2019-06-23,0.35,20,358
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91351,-87.63929,Entire home/apt,475,2,39,2019-06-11,0.78,20,332
165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,,Lake View,41.94274,-87.67321,Entire home/apt,198,3,58,2018-10-14,0.60,4,195
166667,Cozy Garden Studio ,791089,Conrad,,North Center,41.94274,-87.67378,Entire home/apt,125,3,83,2019-06-24,0.85,4,340
166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,,Lake View,41.94221,-87.67327,Entire home/apt,280,3,22,2019-06-03,0.23,4,287
172616,ALONZO:  SWEET Flat in the Ukrainian Village,3908,Layne,,West Town,41.89753,-87.67315,Entire home/apt,75,3,61,2019-06-22,0.63,3,227
175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,,Irving Park,41.96012,-87.72158,Entire home/apt,67,3,22,2019-07-10,0.23,2,346
184764,Room w/private bath -kid friendly,886362,Julie,,Portage Park,41.94325,-87.75403,Private room,85,3,160,2018-12-31,1.66,1,330
189821,Private Apartment Hip Logan Square,899757,Meighan,,Logan Square,41.92973,-87.7012,Entire home/apt,150,2,438,2019-06-27,4.59,1,208
192652,Urban Oasis--Wicker Park Vintage,906713,Stephanie,,West Town,41.90136,-87.67973,Private room,75,2,324,2019-06-16,3.36,2,143
198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,,North Center,41.95935,-87.67963,Private room,44,2,155,2019-06-29,1.67,1,35
207218,Historic Pullman Artist Flat,1019125,Jb,,Pullman,41.6883,-87.60892,Entire home/apt,90,1,250,2019-07-07,2.61,1,346
221109,1 Bedroom Apartment -Noble Square,1146738,Zeyna,,West Town,41.89273,-87.65654,Entire home/apt,115,4,108,2018-10-27,1.14,1,54
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92543,-87.69593,Private room,75,2,19,2019-05-21,0.22,1,297
228273,Gorgeous Private Room/Bath in a Lincoln Park Condo,1190842,Brandon,,Lincoln Park,41.93126,-87.65227,Private room,109,2,74,2019-07-07,0.78,1,316
230836,Huge Bedroom with pvt marble bath,1185573,Graz Anton,,Uptown,41.96331,-87.66088,Private room,125,365,5,2018-06-20,0.06,3,0
233933,BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,1224828,Tippi,,Irving Park,41.95602,-87.72781,Private room,55,2,140,2019-06-30,1.48,2,125
234442,Beautifully Furnished Studio SW2R,87231,Jeff And JoAnne,,Lincoln Park,41.91337,-87.63918,Entire home/apt,85,1,227,2019-06-30,2.40,12,188
236792,Luxe Modern Condo in Lakeview,1241447,Dana,,Uptown,41.95939,-87.65441,Entire home/apt,125,3,58,2019-06-23,0.75,1,135
242751,Junior 1 bedroom in Old Town :SW1F,87231,Jeff And JoAnne,,Lincoln Park,41.91291,-87.63839,Entire home/apt,75,1,260,2019-06-29,2.78,12,44
244439,Walk to Subway 2bed/2bath 6 month+,1139947,Yas,,Near West Side,41.88565,-87.65307,Entire home/apt,134,90,22,2013-09-17,0.23,4,331
248791,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,,Uptown,41.96797,-87.65791,Private room,90,2,95,2019-06-16,1.02,4,336
