id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,Hyde Park-Walk to UChicago or Theological Seminary,2613,Rebecca,,Hyde Park,41.78886490087766,-87.58670890962763,Private room,50,2,111,2018-03-31,2.79,1,220
4505,"One great apartment, 332 great reviews, 1 bad one.",5775,Craig & Kathleen,,South Lawndale,41.854952624963666,-87.69696178980683,Entire home/apt,120,2,343,2018-03-31,3.60,1,211
6715,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,,Lincoln Park,41.92926222112926,-87.66009125412157,Entire home/apt,255,4,82,2018-04-08,0.76,2,289
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90284493792261,-87.68182959890865,Entire home/apt,80,2,285,2018-03-25,2.66,1,274
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.917689236120225,-87.63787943696494,Entire home/apt,150,3,19,2018-03-18,0.39,11,309
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495075886,-87.59194893566665,Private room,35,2,27,2017-12-16,0.64,6,339
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91182684931927,-87.63999816109653,Entire home/apt,215,3,4,2017-08-06,0.08,11,313
12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,,Near North Side,41.90452089792653,-87.6332002165527,Entire home/apt,99,3,8,2017-10-24,0.21,1,89
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.923353078282275,-87.64950965740992,Private room,259,2,2,2016-06-06,0.06,1,353
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.896168045817014,-87.66041074465691,Entire home/apt,110,20,9,2014-10-12,0.17,1,365
22651,beautifully furnished 3 bed/1bath 1,87231,Steve And JoAnne,,Lake View,41.949105167408675,-87.65790583136416,Entire home/apt,185,1,154,2018-03-31,1.61,17,156
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679106544701,-87.65521134306644,Entire home/apt,99,32,36,2017-11-30,0.37,4,250
25267,Wrigleyville beautifully furnished 3 bedroom #2,87231,Steve And JoAnne,,Lake View,41.94750674317872,-87.65928448895485,Entire home/apt,105,1,138,2018-04-01,1.50,17,152
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.926934531158814,-87.65752710877798,Entire home/apt,99,32,43,2017-09-18,0.45,4,271
28749,3 bedroom Dramatic Bucktown LOFT,27506,Laurie,,Logan Square,41.920829981874995,-87.68010383601577,Entire home/apt,450,2,47,2018-01-01,0.52,1,357
32346,Couch in Irving Park East (Pulls out to Queen bed),139926,Ryan&Rachel,,Irving Park,41.94795832198573,-87.70332048754027,Shared room,33,1,2,2017-06-26,0.02,4,0
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97384553261117,-87.665389385576,Private room,74,3,223,2018-03-20,2.37,1,221
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377490037404,-87.63465211289514,Private room,75,2,424,2018-04-01,4.64,1,186
43323,Private Bed/Ba-conveniently located modern condo!,188954,Jennifer,,Humboldt Park,41.910964290634226,-87.71440658512664,Private room,70,1,5,2017-10-30,0.05,2,89
43360,Modern Master Suite & Deck in Sunny Luxury Condo,188954,Jennifer,,Logan Square,41.93083069822236,-87.71383276021898,Private room,135,2,2,2017-10-08,0.02,2,89
44020,2 Bedrm 1 Block to Fullerton L  - Deck with Grll,101521,Red,,Lincoln Park,41.92673030057498,-87.65730729203216,Entire home/apt,80,32,50,2017-10-01,0.62,4,239
46151, Furnished Junior 1 Bedroom :SW1R,87231,Steve And JoAnne,,Lincoln Park,41.913306356687855,-87.63964488411452,Entire home/apt,75,1,196,2018-03-30,2.12,17,210
46154,Old Town Lincoln Park studio: 2F,87231,Steve And JoAnne,,Lincoln Park,41.91287206416307,-87.63978766554311,Entire home/apt,65,1,176,2018-03-27,1.92,17,217
49893,1 Bedrm 1 block from Wrigley Field,87231,Steve And JoAnne,,Lake View,41.949183302968045,-87.65845858800222,Entire home/apt,70,1,218,2018-04-06,2.37,17,109
53497,Wrigley 2 BD /2 Bath Duplex: OD2F,87231,Steve And JoAnne,,Lake View,41.935409502995114,-87.66711358986662,Entire home/apt,95,1,59,2018-03-25,0.65,17,49
