id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,Hyde Park: Walk to UChicago/10 min to McCormick Pl,2613,Rebecca,,Hyde Park,41.78886,-87.58671,Private room,50,2,153,2019-06-09,2.84,1,323
4505,We're back. 365 Great Reviews.  1 bad one.,5775,Craig & Kathleen,,South Lawndale,41.85495,-87.69696,Entire home/apt,117,2,370,2019-05-28,2.96,1,314
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289,-87.68182,Entire home/apt,80,2,340,2019-05-27,2.81,1,313
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91769,-87.63788,Entire home/apt,150,4,36,2019-05-15,0.57,11,304
10610,3 Comforts of Cooperative Living,2140,Lois,,Hyde Park,41.79708,-87.59195,Private room,35,2,39,2019-06-06,0.69,5,225
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91183,-87.64,Entire home/apt,215,4,11,2019-05-12,0.18,11,282
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92335,-87.64951,Private room,289,2,4,2018-10-17,0.08,1,173
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.89617,-87.66041,Entire home/apt,99,89,9,2014-10-12,0.13,1,341
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679,-87.65521,Entire home/apt,99,32,37,2018-07-29,0.34,4,297
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.91423,-87.63846,Entire home/apt,145,1,179,2019-05-13,1.63,12,149
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693,-87.65753,Entire home/apt,99,32,44,2019-03-12,0.40,4,273
28749,3 bedroom Dramatic Bucktown LOFT,27506,Laurie,,Logan Square,41.92083,-87.6801,Entire home/apt,250,2,47,2018-01-01,0.45,2,283
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97385,-87.66539,Private room,77,3,243,2019-05-21,2.24,1,198
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377,-87.63465,Private room,75,2,472,2019-06-07,4.47,1,14
44020,2 Bedroom 1 Block to Fullerton L - Garage Avail,101521,Red,,Lincoln Park,41.92673,-87.65731,Entire home/apt,80,32,51,2019-04-14,0.54,4,162
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.91331,-87.63964,Entire home/apt,75,1,233,2019-04-30,2.19,12,205
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287,-87.63979,Entire home/apt,65,1,244,2019-05-17,2.30,12,163
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264,-87.63979,Entire home/apt,155,1,254,2019-05-12,2.47,12,206
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89687,-87.67989,Private room,59,3,59,2019-06-02,0.60,2,122
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792,-87.65757,Private room,180,2,147,2019-06-12,1.47,4,330
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693,-87.68033,Private room,55,3,57,2019-06-04,0.57,2,138
110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.9693,-87.65621,Private room,99,2,135,2019-05-21,1.38,4,330
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96804,-87.65123,Private room,48,3,142,2019-05-06,1.46,1,183
