id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,"Hyde Park Coop near UChicago, Theological Seminary",2613,Rebecca,,Hyde Park,41.78886490087766,-87.58670890962763,Private room,50,2,139,2018-12-03,2.84,1,243
6715,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,,Lincoln Park,41.92926222112926,-87.66009125412157,Entire home/apt,255,4,93,2018-08-12,0.79,2,346
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.9028949379226,-87.68182159890866,Entire home/apt,80,2,325,2019-01-01,2.80,1,345
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.917689236120225,-87.63787943696494,Entire home/apt,150,3,33,2018-10-14,0.57,12,362
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495075886,-87.59194893566665,Private room,35,2,33,2018-12-01,0.64,5,210
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91182684931927,-87.63999816109653,Entire home/apt,215,3,9,2018-11-05,0.16,12,263
12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,,Near North Side,41.90452089792653,-87.6332002165527,Entire home/apt,99,165,8,2017-10-24,0.17,2,358
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.923353078282275,-87.64950965740992,Private room,289,2,4,2018-10-17,0.09,1,176
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.896168045817014,-87.66041074465691,Entire home/apt,99,89,9,2014-10-12,0.14,1,365
22651,beautifully furnished 3 bed/1bath 1,87231,Jeff And JoAnne,,Lake View,41.949105167408675,-87.65790583136416,Entire home/apt,185,1,179,2018-12-23,1.71,26,362
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679106544701,-87.65521134306644,Entire home/apt,99,32,37,2018-07-29,0.35,4,365
25267,Wrigleyville beautifully furnished 3 bedroom #2,87231,Jeff And JoAnne,,Lake View,41.94750674317872,-87.65928448895485,Entire home/apt,105,1,171,2018-12-16,1.69,26,39
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.914226296141905,-87.63846121515834,Entire home/apt,115,1,175,2018-12-19,1.67,26,71
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.926934531158814,-87.65752710877798,Entire home/apt,99,32,42,2017-09-18,0.40,4,215
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97384553261117,-87.665389385576,Private room,74,3,241,2018-11-19,2.33,1,194
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377490037404,-87.63465211289514,Private room,75,3,458,2018-12-14,4.55,1,20
44020,2 Bedroom 1 Block to Fullerton L - Garage Avail,101521,Red,,Lincoln Park,41.92673030057498,-87.65730729203216,Entire home/apt,80,32,50,2017-10-01,0.55,4,269
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.913306356687855,-87.63964488411452,Entire home/apt,75,1,229,2019-01-03,2.25,26,221
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287206416307,-87.63978766554311,Entire home/apt,65,1,227,2018-12-02,2.25,26,92
49893,1 Bedrm 1 block from Wrigley Field,87231,Jeff And JoAnne,,Lake View,41.949183302968045,-87.65845858800222,Entire home/apt,70,1,259,2018-11-15,2.56,26,46
53497,#Wrigley 2 BD /2 Bath Duplex: OD2F,87231,Jeff And JoAnne,,Lake View,41.935409502995114,-87.66711358986662,Entire home/apt,95,1,78,2019-01-16,0.78,26,7
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264188381096,-87.63979373615418,Entire home/apt,155,1,246,2019-01-01,2.51,26,200
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.8968655518506,-87.67988892129965,Private room,75,3,53,2019-01-01,0.57,2,148
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.967924062527324,-87.657568608925,Private room,180,2,146,2018-10-14,1.53,4,356
80640,charming Logan Sqare 2bdrm greystone on Blue Line,376916,Dean,,Logan Square,41.92462100715662,-87.70468434615341,Entire home/apt,155,2,51,2018-11-05,0.57,1,360
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693077410186,-87.68032885587718,Private room,72,3,50,2018-11-30,0.53,2,133
110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.96930173595451,-87.65621311417983,Private room,99,2,132,2018-11-18,1.42,4,358
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96803814616759,-87.65122778834323,Private room,48,3,137,2018-10-15,1.48,1,211
133262,"Sweet Ivy Apartment - Relax, Recharge & Explore!",654712,Francesca,,West Town,41.89242541377849,-87.6807822185988,Entire home/apt,65,7,33,2019-01-02,0.44,1,65
144840,Great 3 Bedroom in Great Wrigley/Lakeview Location,701615,Daniel,,Lake View,41.94079420454319,-87.65763171002189,Entire home/apt,225,2,3,2018-11-04,0.09,1,357
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.943639815744184,-87.6815473926043,Entire home/apt,275,2,11,2018-10-16,0.28,20,361
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.913508047715474,-87.63929445975575,Entire home/apt,475,2,35,2018-10-09,0.79,20,360
172616,ALONZO:  Art-filled Flat in the Ukrainian Village,3908,Layne,,West Town,41.8975265876515,-87.67315488384683,Entire home/apt,145,3,56,2018-07-30,0.62,1,291
175511,1BR/1BA Suite in Chicago,837429,Petru,,Irving Park,41.960118175528955,-87.72157978665592,Entire home/apt,67,3,19,2018-10-29,0.21,2,350
184764,Room w/private bath -kid friendly,886362,Julie,,Portage Park,41.94325157947286,-87.75403380526285,Private room,85,3,160,2018-12-31,1.77,1,364
189821,Private Apartment Hip Logan Square,899757,Meighan,,Logan Square,41.929729293722936,-87.7011975405122,Entire home/apt,175,2,408,2019-01-06,4.57,1,228
192652,Urban Oasis--Wicker Park Vintage,906713,Stephanie,,West Town,41.90135950242569,-87.67973399837447,Private room,70,2,309,2019-01-11,3.41,3,240
198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,,North Center,41.95935102337129,-87.67963450534127,Private room,44,2,148,2019-01-03,1.71,1,142
207218,Historic Pullman Artist Flat,1019125,Jb,,Pullman,41.68830467255806,-87.6089249313565,Entire home/apt,90,1,235,2018-12-09,2.62,1,364
221109,1 Bedroom Apartment -Noble Square,1146738,Zeyna,,West Town,41.892727044742486,-87.65653715674584,Entire home/apt,115,4,108,2018-10-27,1.22,1,90
223777,Bohemiam Bedroom in Hip 'Hood,1163561,Elizabeth & Mike,,West Town,41.90121895443964,-87.69640925607162,Private room,70,1,39,2018-06-24,0.60,1,364
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92542934858024,-87.69592681869976,Private room,75,2,18,2017-09-16,0.23,1,350
228273,Gorgeous Private Room/Bath in a Lincoln Park Condo,1190842,Brandon,,Lincoln Park,41.93125640368625,-87.65227337932075,Private room,109,2,54,2019-01-13,0.61,1,338
